Title	Price	Shipping_cost	Sales_Count	Sales_Value	Link
Samsung Galaxy Note 10 Plus N975U 256GB Factory Unlocked Smartphone - Very Good	$358.26	$0.00	3,380	$1,210,916.20	https://www.ebay.com/itm/254587833287?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 12 64GB Unlocked Smartphone - Very Good	$369.85	$0.00	2,888	$1,068,138.24	https://www.ebay.com/itm/255156294126?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 6S Plus 64GB Unlocked Smartphone - Very Good	$132.99	$12.02	3,531	$469,574.73	https://www.ebay.com/itm/382231636526?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 8 64GB Factory Unlocked Smartphone - Very Good	$169.80	$0.00	3,290	$558,652.10	https://www.ebay.com/itm/253462854618?nordt=true&orig_cvip=true&rt=nc
Samsung N970 Galaxy Note 10 256GB Unlocked Android Smartphone - Very Good	$211.15	$14.99	3,177	$670,836.52	https://www.ebay.com/itm/383773335051?nordt=true&orig_cvip=true&rt=nc
Apple iPhone SE 2020 2nd Gen. 64GB Factory Unlocked Smartphone - Very Good	$153.88	$0.00	2,782	$428,085.18	https://www.ebay.com/itm/254699548059?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 8 64GB GSM Factory Unlocked Smartphone-Good	$150.30	$18.26	2,746	$412,724.54	https://www.ebay.com/itm/193162998553?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 8 Plus 64GB Factory Unlocked Smartphone - Good	$231.07	$0.00	3,211	$741,967.89	
Apple iPhone XR 64GB Factory Unlocked Smartphone 4G LTE iOS Smartphone - Good	$249.20	$0.00	2,722	$678,321.78	https://www.ebay.com/itm/254187724827?nordt=true&orig_cvip=true&rt=nc
"Samsung G960 Galaxy S9 64GB Android ""Factory Unlocked"" 4G LTE Smartphone - Good"	$111.94	$12.87	3,292	$368,509.51	https://www.ebay.com/itm/382942879927?nordt=true&orig_cvip=true&rt=nc
"Huawei Honor 5X 4G LTE Android 5.5"" Dual-SIM 16GB Unlocked Smartphone"	$36.17	$19.43	3,635	$131,479.87	https://www.ebay.com/itm/275527542764?nordt=true&orig_cvip=true&rt=nc
Apple iPhone XR 128GB Unlocked Smartphone - Very Good	$270.28	$14.99	2,778	$750,839.97	https://www.ebay.com/itm/362844585265?nordt=true&orig_cvip=true&rt=nc
2023 New Android Cheap Cell Phone Factory Unlocked Smartphone Dual SIM Quad Core	$67.98	$7.00	2,776	$188,703.78	https://www.ebay.com/itm/265116884488?nordt=true&orig_cvip=true&rt=nc
Apple iPhone XR 64GB 128GB 256GB - Factory Unlocked Smartphone - Good	$261.61	$33.63	2,313	$605,109.72	https://www.ebay.com/itm/115160719109?nordt=true&orig_cvip=true&rt=nc
Apple iPhone X 64GB Factory Unlocked Smartphone - Very Good	$287.11	$0.00	2,200	$631,648.98	https://www.ebay.com/itm/254187579586?nordt=true&orig_cvip=true&rt=nc
LG G8X ThinQ G850UM 128GB Sprint/Unlocked Smartphone Excellent	$100.73	$14.77	3,066	$308,844.34	https://www.ebay.com/itm/175104539043?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy S9+ PLUS G965U Factory Unlocked Smartphone - Good	$134.91	$29.88	2,181	$294,247.19	
"Apple iPhone 7 - 32GB 128GB 256GB GSM ""Factory Unlocked"" Smartphone All Colors*"	$115.08	$20.03	2,188	$251,785.60	https://www.ebay.com/itm/362174598107?nordt=true&orig_cvip=true&rt=nc
Unlocked Apple iPhone 11 Pro Max �� 64GB 256GB 512GB Verizon T-Mobile Smartphone	$758.21	$27.56	2,097	$1,589,972.10	
Apple iPhone 11 64GB Unlocked Smartphone - Good	$385.25	$18.90	2,353	$906,489.74	https://www.ebay.com/itm/383852092669?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 7 32GB Unlocked Smartphone - Very Good	$109.97	$13.88	2,822	$310,334.39	https://www.ebay.com/itm/401421457135?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 11 128GB Unlocked Smartphone - Very Good	$373.87	$14.99	2,538	$948,885.60	https://www.ebay.com/itm/383815687874?nordt=true&orig_cvip=true&rt=nc
"New Boxed Samsung Galaxy S8 G950U SM-G950U Factory Unlocked 5.8"" 64GB Smartphone"	$189.81	$13.50	1,998	$379,238.24	https://www.ebay.com/itm/202736101273?nordt=true&orig_cvip=true&rt=nc
Apple  iPhone 7 - 32GB - Black - (GSM) Unlocked - Smartphone - Very Good	$106.73	$26.79	2,368	$252,732.80	
Apple iPhone 11 64GB Factory Unlocked 4G LTE Smartphone - Excellent	$380.30	$0.00	1,977	$751,853.23	https://www.ebay.com/itm/254604774836?nordt=true&orig_cvip=true&rt=nc
Apple iphone 7/7 plus 32GB/128GB Unlocked Verizon tmobile at&t Smartphone LTE	$117.36	$17.25	1,724	$202,331.39	https://www.ebay.com/itm/113940220736?nordt=true&orig_cvip=true&rt=nc
"Apple iPhone 7 - 32GB 128GB 256GB GSM ""Factory Unlocked"" Smartphone All Colors*"	$115.09	$20.03	2,182	$251,115.90	https://www.ebay.com/itm/362174598107?nordt=true&orig_cvip=true&rt=nc
Unlocked Apple iPhone 11 Pro Max �� 64GB 256GB 512GB Verizon T-Mobile Smartphone	$758.15	$27.56	2,095	$1,588,327.12	
Samsung Galaxy S8 Active G892  64GB - Meteor Gray UNLOCKED Smartphone SHADED	$91.93	$14.33	1,963	$180,456.27	https://www.ebay.com/itm/401790747983?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy S10 G973U 128GB Factory Unlocked Android Smartphone - Good	$150.11	$0.00	2,003	$300,664.97	https://www.ebay.com/itm/254449549740?nordt=true&orig_cvip=true&rt=nc
Apple iPhone XR 128GB Factory Unlocked 4G LTE Smartphone - Very Good	$303.09	$0.00	1,767	$535,557.33	https://www.ebay.com/itm/254259767924?nordt=true&orig_cvip=true&rt=nc
Apple iPhone X 64GB Unlocked 4G LTE iOS WiFi 12MP Camera Smartphone - Good	$246.78	$16.35	2,216	$546,871.31	https://www.ebay.com/itm/401692119966?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 8 Plus 64GB Unlocked 4G LTE iOS 12MP Camera Smartphone - Good	$195.62	$16.89	2,372	$464,015.75	https://www.ebay.com/itm/382745068741?nordt=true&orig_cvip=true&rt=nc
Apple iPhone SE 2nd Gen (2020) �� 64GB 128GB 256GB �� Fully Unlocked Smartphone	$298.04	$22.21	1,588	$473,294.12	
Samsung Galaxy S10+ G975U 128GB Factory Unlocked Android Smartphone - Good	$205.37	$0.00	2,267	$465,582.33	https://www.ebay.com/itm/254543445542?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 11 Pro 64GB Unlocked Smartphone - Very Good	$419.18	$14.99	2,017	$845,487.71	https://www.ebay.com/itm/363183828056?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 12 Pro 128GB Unlocked Smartphone - Very Good	$539.72	$15.87	1,881	$1,015,215.95	https://www.ebay.com/itm/363490711983?nordt=true&orig_cvip=true&rt=nc
2023 New Unlocked Smartphone Android Quad Core Dual SIM GPS Phablet Cell Phone	$71.50	$6.41	1,892	$135,270.89	https://www.ebay.com/itm/274665780483?nordt=true&orig_cvip=true&rt=nc
"Huawei Honor 5X 4G LTE Android 5.5"" Dual-SIM 16GB Unlocked Smartphone"	$48.04	$15.22	2,154	$103,481.36	
Apple iPhone 12 64GB Unlocked Smartphone - Very Good	$408.02	$14.99	1,658	$676,496.26	https://www.ebay.com/itm/363552187845?nordt=true&orig_cvip=true&rt=nc
Tracfone Samsung Galaxy A51, 128GB, Black - Prepaid Smartphone (Locked)	$91.93	$0.00	1,817	$167,031.83	
Apple iPhone 8 64GB Factory Unlocked Smartphone - Good	$158.21	$0.00	1,924	$304,386.76	
Apple iPhone 7 - 128GB - Black - Unlocked - Smartphone - Very Good	$120.54	$26.61	1,539	$185,513.16	
Samsung Galaxy G998U S21 Ultra 5G 128GB Unlocked Smartphone - Very Good	$391.03	$0.00	1,582	$618,604.18	https://www.ebay.com/itm/255229822421?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 12 Pro Max 128GB Unlocked Smartphone - Very Good	$683.17	$16.35	1,665	$1,137,486.20	https://www.ebay.com/itm/363622936966?nordt=true&orig_cvip=true&rt=nc
i13 New Android Cheap Cell Phone Factory Unlocked Smartphone Dual SIM Octa Core	$69.87	$13.62	1,542	$107,732.11	https://www.ebay.com/itm/185054035695?nordt=true&orig_cvip=true&rt=nc
Apple iPhone SE 2020 2nd Gen. 64GB Factory Unlocked Smartphone - Good	$152.95	$0.00	1,610	$246,247.90	https://www.ebay.com/itm/255158035114?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy S10e G970U 128GB Factory Unlocked Android Smartphone - Excellent	$157.22	$0.00	1,468	$230,804.32	https://www.ebay.com/itm/254497131840?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 7 128GB Unlocked Smartphone - Very Good	$116.98	$12.93	1,663	$194,542.11	https://www.ebay.com/itm/401433628517?nordt=true&orig_cvip=true&rt=nc
Unlocked Apple iPhone 11 �� 64GB 128GB 256GB Verizon T-Mobile AT&T �� Smartphone	$525.44	$23.53	1,403	$737,187.32	
NEW UNLOCKED Samsung Galaxy Note 9 SM-N960U 128GB BLACK N960U T-MOBILE AT&T	$294.13	$22.74	1,303	$383,250.64	https://www.ebay.com/itm/202761223360?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 6S 64GB Unlocked Smartphone - Very Good	$93.40	$10.48	1,807	$168,781.77	https://www.ebay.com/itm/401343493312?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy Note 10 N970U 256GB Factory Unlocked Smartphone - Very Good	$234.89	$0.00	1,482	$348,100.18	https://www.ebay.com/itm/254616322083?nordt=true&orig_cvip=true&rt=nc
Apple iphone 7/7 plus 32GB/128GB Black Gold Unlocked Verizon Tmobile Smartphone	$157.12	$10.68	1,215	$190,902.89	
Apple iPhone XR 64GB 128GB Unlocked Verizon AT&T T-Mobile GSM CDMA Smartphone	$332.52	$14.57	1,238	$411,664.87	
Samsung G960 Galaxy S9 64GB Verizon Smartphone SHADOW SCREEN	$65.37	$12.34	2,602	$170,081.51	https://www.ebay.com/itm/383199876176?nordt=true&orig_cvip=true&rt=nc
Apple iPhone XR 64GB Verizon T-Mobile AT&T Unlocked Smartphone	$311.22	$0.00	1,264	$393,377.36	https://www.ebay.com/itm/154260684946?nordt=true&orig_cvip=true&rt=nc
"6.0"" Factory Unlocked Android Cheap Cell Phone Smartphone Dual SIM USA Quad Core"	$72.43	$6.98	1,580	$114,439.73	https://www.ebay.com/itm/255190396752?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy S7 - 32GB - Gold (GSM Unlocked AT&T / T-Mobile) Smartphone - Good	$73.34	$26.43	1,566	$114,844.76	
Google Pixel 3 - G013A 64GB/128GB Smartphone Unlocked Multi-Band GSM/CDMA	$84.85	$10.89	1,332	$113,026.48	https://www.ebay.com/itm/184891803008?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 11 64GB Unlocked Verizon ATT T-Mobile GSM CDMA Smartphone A2111	$263.04	$13.99	1,340	$352,478.56	https://www.ebay.com/itm/265620291838?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 8 64GB Factory Unlocked Smartphone	$166.67	$17.52	1,280	$213,337.89	
Google Pixel 3 / 3 XL / 3a / 3a XL - 64GB/128GB - Factory Unlocked - Excellent	$100.74	$10.96	1,363	$137,306.63	https://www.ebay.com/itm/174910657878?nordt=true&orig_cvip=true&rt=nc
Apple iPhone X 64GB Factory Unlocked AT&T T-Mobile Smartphone - Good	$229.77	$27.88	1,171	$269,063.40	https://www.ebay.com/itm/284706512069?nordt=true&orig_cvip=true&rt=nc
Unlocked Apple iPhone 11 Pro �� 64GB 256GB 512GB T-Mobile ATT Verizon Smartphone	$652.17	$25.98	1,190	$776,086.10	
��Apple iPhone SE [1st Gen] 32 / 64 / 128GB Unlocked Smartphone - NEW SEALED��	$179.83	$0.00	1,106	$198,890.94	
Apple iPhone 7 Plus 32GB 128GB Verizon Unlocked AT&T Boost Smartphone	$127.37	$20.79	1,089	$138,702.00	https://www.ebay.com/itm/114530941946?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 8+ Plus - 64GB 256GB Factory GSM Unlocked Smartphone AT&T T-Mobile	$258.68	$21.89	1,314	$339,899.30	https://www.ebay.com/itm/163466112708?nordt=true&orig_cvip=true&rt=nc
"Apple iPhone 6 16GB 64GB 128GB GSM""Factory Unlocked""Smartphone Gold Gray Silver*"	$74.93	$16.95	1,486	$111,340.09	https://www.ebay.com/itm/162158935212?nordt=true&orig_cvip=true&rt=nc
LG G820 G8 ThinQ 128GB Unlocked Smartphone - Very Good	$123.47	$13.88	1,444	$178,291.18	https://www.ebay.com/itm/402738617123?nordt=true&orig_cvip=true&rt=nc
Apple iPhone SE 2nd Gen 64GB Unlocked Smartphone - Very Good	$186.32	$13.31	1,425	$265,503.26	https://www.ebay.com/itm/383869478537?nordt=true&orig_cvip=true&rt=nc
LG G710 G7 ThinQ 64GB Unlocked 4G LTE Android Smartphone - Very Good	$89.62	$14.30	1,482	$132,811.24	
Motorola Droid Turbo 2 XT1585 Smartphone GSM Unlock Verizon Page Plus VoLTE 	$68.26	$7.49	1,400	$95,567.80	
"Apple iPhone 7 PLUS 5.5"" GSM Factory Unlocked SmartPhone 32GB 128GB 256GB Good"	$156.22	$10.74	1,374	$214,649.06	https://www.ebay.com/itm/192666024808?nordt=true&orig_cvip=true&rt=nc
Google Pixel 3 - G013A 64GB/128GB Smartphone Unlocked Multi-Band GSM/CDMA	$84.85	$10.89	1,332	$113,026.48	https://www.ebay.com/itm/184891803008?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 6 64GB Verizon Unlocked  Gold/Silver/Gray LTE Smartphone	$54.85	$9.99	1,128	$61,868.06	https://www.ebay.com/itm/273365425583?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy S10 G973U 128GB Factory Unlocked Android Smartphone - Excellent	$206.55	$0.00	1,170	$241,660.30	https://www.ebay.com/itm/254497146992?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 11 Pro Max 64GB Factory Unlocked 4G LTE Smartphone - Very Good	$567.55	$0.00	1,298	$736,677.02	https://www.ebay.com/itm/254574858548?nordt=true&orig_cvip=true&rt=nc
"Android 10 X14 USA LTE 2G+16GB 6.3"" Smartphone Unlocked 4G Cheap Cell Phone New"	$70.51	$5.79	1,414	$99,706.20	https://www.ebay.com/itm/275347195080?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 7 Plus 32GB Black, Gold Unlcoked Verizon At&t Smartphone LTE	$128.22	$15.99	1,077	$138,088.91	
Apple iPhone 7 Plus 32GB 128GB Verizon Unlocked AT&T Boost Smartphone	$127.37	$20.79	1,089	$138,702.00	https://www.ebay.com/itm/114530941946?nordt=true&orig_cvip=true&rt=nc
Samsung G960 Galaxy S9 64GB Android Verizon Smartphone SHADOW SCREEN	$71.04	$22.39	1,840	$130,706.47	https://www.ebay.com/itm/362776219215?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy S9 SM-G960 - 64GB - GSM Unlocked Smartphone 9/10 - SBI	$112.70	$13.68	1,164	$131,185.78	https://www.ebay.com/itm/174218584095?nordt=true&orig_cvip=true&rt=nc
Apple iPhone XR 64GB Factory Unlocked Smartphone 4G LTE iOS Smartphone -	$279.75	$0.00	1,120	$313,318.80	https://www.ebay.com/itm/254497144144?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy S9 Plus SM-G965U 64GB Unlocked Android Smartphone - Very Good	$155.10	$24.16	1,247	$193,403.78	
Apple iPhone 8+ Plus - 64GB 256GB Factory GSM Unlocked Smartphone AT&T T-Mobile	$258.69	$21.89	1,318	$340,949.10	https://www.ebay.com/itm/163466112708?nordt=true&orig_cvip=true&rt=nc
Apple iPhone X 256GB Unlocked Smartphone - Good	$269.86	$28.48	1,235	$333,271.75	https://www.ebay.com/itm/362539249410?nordt=true&orig_cvip=true&rt=nc
"Apple iPhone 6 16GB 64GB 128GB GSM""Factory Unlocked""Smartphone Gold Gray Silver*"	$74.92	$16.95	1,487	$111,404.05	https://www.ebay.com/itm/162158935212?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 12 128GB Unlocked Smartphone - Very Good	$449.18	$14.99	1,216	$546,202.59	https://www.ebay.com/itm/403448574550?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy A10e SM-A102U - 32GB - GSM Unlocked Smartphone 7/10	$70.31	$9.30	1,464	$102,938.55	https://www.ebay.com/itm/174871616624?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 8 Plus 64GB 256GB Factory Unlocked Smartphone A1864 Brand New US	$390.73	$0.00	997	$389,561.03	
iPhone 6s/6s plus 16GB/64GB Unlocked Verizon at&t Tmobile smartphone LTE	$121.83	$10.69	989	$120,491.44	
Samsung Galaxy S9 - Unlocked - Verizon T-Mobile AT&T 64GB 4G Smartphone	$106.88	$11.08	1,143	$122,169.36	https://www.ebay.com/itm/274614344653?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy Note 20 Ultra 5G N986U Unlocked Smartphone - Very Good	$390.18	$0.00	1,071	$417,884.29	https://www.ebay.com/itm/255036085233?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 8 Plus 256GB Unlocked Smartphone - Very Good	$256.25	$14.99	1,396	$357,728.77	https://www.ebay.com/itm/401802476294?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy A10e Factory Unlocked SM-A102U 32GB GSM Smartphone FAIR CONDITION	$71.23	$0.00	1,573	$112,041.03	
Apple iPhone 6S 32GB Unlocked Smartphone - Very Good	$86.28	$23.21	1,459	$125,881.67	https://www.ebay.com/itm/382262389997?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy S10e G970U 128GB Factory Unlocked Android Smartphone - Good	$129.04	$0.00	1,190	$153,553.10	https://www.ebay.com/itm/254362724799?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 11 Pro 256GB Unlocked Smartphone - Very Good	$457.38	$14.99	1,279	$584,990.16	https://www.ebay.com/itm/402561454256?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy S10 G973U 128GB Factory Unlocked Android Smartphone - Used	$122.64	$0.00	1,281	$157,107.19	https://www.ebay.com/itm/254887931564?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy S10+ Plus Factory Unlocked AT&T Verizon T-Mobile Sprint Open Box	$267.26	$9.99	978	$261,380.28	https://www.ebay.com/itm/114789287210?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy S21 5G 128GB Phantom Gray - (Verizon) SMG991UZAV Smartphone	$477.31	$0.00	1,142	$545,093.17	https://www.ebay.com/itm/133748771442?nordt=true&orig_cvip=true&rt=nc
Apple iPhone XR �� 64GB 128GB 256GB T-Mobile AT&T Verizon Unlocked �� Smartphone	$357.49	$24.22	967	$345,691.33	
Samsung Galaxy A10e 32GB 4G LTE GSM Unlocked Android Smartphone Black	$113.02	$14.04	1,047	$118,327.65	https://www.ebay.com/itm/124808868109?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy Note 10 Plus N975U 256GB Factory Unlocked Smartphone - Excellent	$378.78	$0.00	976	$369,690.24	https://www.ebay.com/itm/254581733254?nordt=true&orig_cvip=true&rt=nc
Apple iPhone XR | 64GB Factory Unlocked | 4G LTE iOS Smartphone Good	$247.46	$50.02	1,024	$253,403.05	https://www.ebay.com/itm/303866151709?nordt=true&orig_cvip=true&rt=nc
Apple iPhone XS Max 256GB Unlocked Smartphone - Very Good	$406.65	$14.99	1,188	$483,102.81	https://www.ebay.com/itm/362796965180?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy S9 - Factory Unlocked - T-Mobile, AT&T, Sprint 64GB 4G Smartphone	$125.04	$28.39	1,046	$130,788.99	
LG V60 ThinQ LM-V600AM 128GB 5G AT&T + GSM Unlocked Blue Smartphone Open Box	$381.94	$20.75	929	$354,820.64	
Apple iPhone 7 Plus Smartphone AT&T Sprint T-Mobile Verizon or Unlocked 4G LTE	$195.96	$22.65	1,007	$197,336.52	
Tracfone Samsung Galaxy A03s, 32GB, Black - Prepaid Smartphone (Locked)	$51.58	$0.00	1,492	$76,954.34	https://www.ebay.com/itm/284822804313?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy S9 Plus - 64GB Smartphone (Unlocked) Verizon AT&T T-Mobile Sprint	$172.36	$9.99	968	$166,840.32	
Apple iPhone XR Smartphone 64GB 128GB AT&T Sprint T-Mobile Verizon or Unlocked	$323.75	$24.38	933	$302,060.88	
Samsung Galaxy S20 Ultra 5G SM-G988U 128GB Unlocked Smartphone - Very Good	$322.88	$14.99	1,087	$350,969.90	https://www.ebay.com/itm/363755059961?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 6s 16GB, 64GB, 128GB, Verizon at&t LTE CDMA/GSM Unlocked Smartphone	$101.28	$9.99	831	$84,165.82	
Apple iPhone X Smartphone 64GB 256GB AT&T Sprint T-Mobile Verizon or Unlocked	$315.73	$21.16	909	$287,002.88	
Apple iPhone 7 32GB- Gold,Black,Silver Verizon at&t Unlocked Tmobile Smartphone 	$82.92	$15.44	814	$67,497.32	https://www.ebay.com/itm/114120899548?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 8 Plus Smartphone AT&T Sprint T-Mobile Verizon or Unlocked 4G LTE	$274.12	$34.60	895	$245,335.07	
Apple iPhone 7 Smartphone Black Rose Gold Silver 32GB 128GB 256GB GSM Unlocked	$128.72	$17.30	853	$109,796.74	
